,Actual_tweets,Annotator1_summary,Annotator2_summary,Annotator3_summary
0,1,0,3,2
1,2,0,2,2
2,2,0,2,2
3,3,0,2,7
4,2,0,2,1
5,2,0,3,0
6,1,0,2,2
7,2,0,0,2
8,2,0,1,2
9,1,0,2,2
10,2,0,1,0
11,1,0,2,0
12,2,0,2,3
13,2,0,2,0
14,1,0,3,0
15,7,0,2,2
16,6,0,2,0
17,2,0,0,2
18,6,0,4,0
19,3,0,3,3
20,3,0,2,0
21,3,0,1,2
22,1,0,2,2
23,2,0,2,2
24,2,0,1,2
25,3,0,2,0
26,1,0,3,1
27,6,0,3,2
28,1,0,3,2
29,1,0,3,1
30,2,0,2,2
31,2,0,2,0
32,2,0,0,0
33,2,0,5,3
34,3,0,2,3
35,3,0,2,2
36,1,0,2,7
37,2,0,0,2
38,2,0,3,2
39,1,0,2,2
40,1,0,2,1
41,1,,,
42,1,,,
43,1,,,
44,2,,,
45,1,,,
46,3,,,
47,3,,,
48,1,,,
49,1,,,
50,1,,,
51,1,,,
52,1,,,
53,2,,,
54,1,,,
55,1,,,
56,1,,,
57,1,,,
58,2,,,
59,2,,,
60,1,,,
61,1,,,
62,1,,,
63,1,,,
64,3,,,
65,2,,,
66,4,,,
67,1,,,
68,1,,,
69,1,,,
70,1,,,
71,1,,,
72,1,,,
73,2,,,
74,1,,,
75,1,,,
76,1,,,
77,1,,,
78,1,,,
79,2,,,
80,2,,,
81,1,,,
82,3,,,
83,1,,,
84,1,,,
85,1,,,
86,1,,,
87,2,,,
88,2,,,
89,1,,,
90,2,,,
91,3,,,
92,1,,,
93,2,,,
94,1,,,
95,1,,,
96,3,,,
97,2,,,
98,2,,,
99,2,,,
100,2,,,
101,2,,,
102,1,,,
103,1,,,
104,1,,,
105,2,,,
106,2,,,
107,1,,,
108,3,,,
109,1,,,
110,1,,,
111,1,,,
112,3,,,
113,3,,,
114,2,,,
115,1,,,
116,1,,,
117,1,,,
118,3,,,
119,3,,,
120,1,,,
121,2,,,
122,1,,,
123,1,,,
124,2,,,
125,2,,,
126,1,,,
127,1,,,
128,1,,,
129,1,,,
130,4,,,
131,2,,,
132,2,,,
133,1,,,
134,1,,,
135,2,,,
